file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
the_fox_and_the_grapes,9.05,11.55,default,-47.04501171875,-45.86581100463867,3.42675463313937,17.76215039571609
the_fox_and_the_grapes,11.88,14.14,default,-47.58210038716814,-46.24302101135254,2.735197539395451,13.382030883001601
the_fox_and_the_grapes,45.029,46.646,default,-47.69611424575617,-47.39595383864183,2.734157974894716,11.682167690932662
the_fox_and_the_grapes,34.602,37.617,default,-51.62091266556291,-48.923651035015396,2.730271355498051,14.412738300065728
the_fox_and_the_grapes,46.977,49.553,default,-48.13595793968023,-47.370447976248606,2.5399915995244693,14.985930743113634
the_fox_and_the_grapes,5.85,8.73,default,-48.55745103624132,-48.16724051369561,2.47353918201802,12.491424997025446
the_fox_and_the_grapes,37.897,40.634,default,-47.93332644274635,-49.64850484913793,2.2236293858906846,16.536550256810642
the_fox_and_the_grapes,23.48,25.19,default,-48.250445449561404,-49.81957408360073,2.2073029738596013,15.19205536559795
the_fox_and_the_grapes,19.06,21.795,default,-49.51721458713504,-48.592379030974016,2.195423302419569,16.15765491165328
the_fox_and_the_grapes,21.94,23.365,default,-47.79626038024475,-47.84919293721517,2.1171618168734456,11.888885554947432
the_fox_and_the_grapes,51.106,52.033,default,-52.43106308803763,-50.4786376953125,2.1060008269417883,11.003205411264954
the_fox_and_the_grapes,31.966,34.343,default,-46.359855074842436,-45.97679919288272,2.067160625332131,18.330886013293238
the_fox_and_the_grapes,25.665,28.873,default,-51.13548968068536,-49.33247865949358,1.9553064068943922,4.660770358571007
the_fox_and_the_grapes,3.59,5.52,default,-50.8145492632772,-50.16650092083475,1.941476297317446,13.054551470204384
the_fox_and_the_grapes,16.96,18.52,default,-47.78964155148237,-48.3288836479187,1.821210820063503,16.418229748701833
the_fox_and_the_grapes,0.36,3.49,default,-48.65396303414537,-48.621063232421875,1.7385413277155541,16.686969369638344
the_fox_and_the_grapes,40.961,44.916,default,-48.18154691445707,-48.51618003845215,1.5780373979602316,11.804324932929315
the_fox_and_the_grapes,29.32,31.514,default,-48.20535905393836,-46.71160006523132,1.4257806125898622,10.17140617063133
the_fox_and_the_grapes,14.735,16.705,default,-48.20382396097716,-49.870800256729126,1.3720349114996226,16.05701167974002
the_fox_and_the_grapes,50.066,50.956,default,-53.337621795997194,-53.05103187561035,1.2431311759972996,15.15342795696537
