num	dist
5484	1.0
5473	1.0
5447	1.0
5445	1.0
5443	1.0
5416	1.0
5403	1.0
5406	1.0
5355	1.0
5268	0.875
5273	1.0
5281	0.8888888888888888
5297	1.0
5300	1.0
5324	1.0
5327	1.0
5329	1.0
5330	1.0
5331	1.0
5332	1.0
5338	1.0
5155	1.0
5184	1.0
5218	1.0
5229	1.0
5235	0.5
5114	1.0
3071	1.0
3098	1.0
3099	0.5
3167	1.0
3209	0.6
3241	1.0
3576	0.9024390243902439
3602	1.0
3603	1.0
3604	1.0
3641	0.5
3755	0.9090909090909091
3791	1.0
3801	1.0
3830	1.0
3848	0.5
3870	1.0
3871	1.0
3872	1.0
3884	1.0
3885	1.0
3889	1.0
3890	0.75
3893	0.8333333333333334
3894	0.9565217391304348
3899	1.0
3907	1.0
3910	1.0
3913	1.0
3930	1.0
3972	1.0
3998	1.0
3999	1.0
4000	1.0
4044	1.0
4066	1.0
4073	0.75
4076	1.0
4086	1.0
4089	1.0
4101	1.0
4119	1.0
4120	1.0
4137	1.0
4141	0.9285714285714286
4143	1.0
4149	1.0
4193	1.0
4195	1.0
4247	1.0
4283	1.0
4284	1.0
4285	1.0
4291	1.0
4302	1.0
4307	1.0
4310	1.0
4315	1.0
4330	1.0
4334	0.5
4354	1.0
4356	1.0
4357	1.0
4367	1.0
4371	1.0
4384	0.5
4387	1.0
4390	1.0
4392	1.0
4393	1.0
4403	0.84375
4411	1.0
4416	1.0
4424	0.9375
4426	1.0
4464	1.0
4465	0.75
4480	0.9090909090909091
4510	1.0
4516	1.0
4517	1.0
4561	1.0
4562	1.0
4589	0.8888888888888888
4590	0.8
4595	1.0
4752	1.0
4759	1.0
4787	0.75
4856	1.0
4858	1.0
4973	0.95
5013	1.0
5015	1.0
5020	1.0
1270	1.0
1280	1.0
1282	0.5
1292	1.0
1305	1.0
1343	1.0
1356	1.0
1357	1.0
1418	0.5
1420	0.5
1422	1.0
1428	1.0
1429	1.0
1455	1.0
1542	1.0
1545	1.0
1546	1.0
1597	1.0
1598	1.0
1599	1.0
1600	1.0
1603	1.0
1612	1.0
1614	1.0
1702	1.0
1741	1.0
1751	1.0
1755	1.0
1760	1.0
1768	1.0
1769	1.0
1771	1.0
1801	1.0
1802	0.5
1803	1.0
1853	1.0
1854	0.5
1856	1.0
1951	1.0
1960	1.0
1967	1.0
1974	1.0
2019	1.0
2028	1.0
2036	1.0
2160	1.0
2235	1.0
2237	1.0
2295	1.0
2314	0.5
2329	1.0
2331	1.0
2332	1.0
2333	1.0
2355	1.0
2359	1.0
2362	1.0
2364	1.0
2374	1.0
2377	1.0
2382	1.0
2425	0.7142857142857143
2437	0.9230769230769231
2440	1.0
2441	1.0
2445	0.75
2470	1.0
2488	0.5
2489	1.0
2493	1.0
2505	1.0
2513	1.0
2516	1.0
2517	1.0
2518	1.0
2519	1.0
2520	1.0
2521	1.0
2523	1.0
2566	0.8
2655	0.5
2658	1.0
2699	1.0
2771	1.0
2778	1.0
2790	0.6666666666666666
2802	0.6
2803	1.0
2836	1.0
2881	1.0
