date	area	count	contributors
2022-07-01	authorship	17	mtekman,nomadscientist,pinin4fjords,contributor1,contributor2,beatrizserrano,gallardoalba,pavanvidem,bebatut,erxleben,wm75,hrhotz,blankenberg,aostrovsky01,astrovsky01,ethering,nsoranzo
2022-08-01	authorship	18	mtekman,nomadscientist,contributor1,contributor2,metekman,pinin4fjords,beatrizserrano,gallardoalba,pavanvidem,bebatut,erxleben,wm75,hrhotz,blankenberg,aostrovsky01,astrovsky01,ethering,nsoranzo
2022-09-01	authorship	19	mtekman,nomadscientist,contributor1,contributor2,metekman,pinin4fjords,wee-snufkin,beatrizserrano,gallardoalba,pavanvidem,bebatut,erxleben,wm75,hrhotz,blankenberg,aostrovsky01,astrovsky01,ethering,nsoranzo
2022-10-01	authorship	19	mtekman,nomadscientist,contributor1,contributor2,metekman,pinin4fjords,wee-snufkin,beatrizserrano,gallardoalba,pavanvidem,bebatut,erxleben,wm75,hrhotz,blankenberg,aostrovsky01,astrovsky01,ethering,nsoranzo
2022-11-01	authorship	21	mtekman,nomadscientist,contributor1,contributor2,metekman,pinin4fjords,Marisa Loach,MarisaJL,wee-snufkin,beatrizserrano,gallardoalba,pavanvidem,bebatut,erxleben,wm75,hrhotz,blankenberg,aostrovsky01,astrovsky01,ethering,nsoranzo
2022-12-01	authorship	21	mtekman,nomadscientist,contributor1,contributor2,metekman,pinin4fjords,Marisa Loach,MarisaJL,wee-snufkin,beatrizserrano,gallardoalba,pavanvidem,bebatut,erxleben,wm75,hrhotz,blankenberg,aostrovsky01,astrovsky01,ethering,nsoranzo
2023-01-01	authorship	21	mtekman,nomadscientist,contributor1,contributor2,metekman,pinin4fjords,Marisa Loach,MarisaJL,wee-snufkin,beatrizserrano,gallardoalba,pavanvidem,bebatut,erxleben,wm75,hrhotz,blankenberg,aostrovsky01,astrovsky01,ethering,nsoranzo
2023-02-01	authorship	22	mtekman,nomadscientist,{"authorship"=>["nomadscientist", "mtekman"], "testing"=>["marisajl"]},contributor1,contributor2,metekman,pinin4fjords,Marisa Loach,MarisaJL,wee-snufkin,beatrizserrano,gallardoalba,pavanvidem,bebatut,erxleben,wm75,hrhotz,blankenberg,aostrovsky01,astrovsky01,ethering,nsoranzo
2023-03-01	authorship	22	mtekman,nomadscientist,{"authorship"=>["nomadscientist", "mtekman"], "testing"=>["marisajl"]},contributor1,contributor2,metekman,wee-snufkin,pinin4fjords,Marisa Loach,MarisaJL,beatrizserrano,gallardoalba,pavanvidem,bebatut,erxleben,wm75,hrhotz,blankenberg,aostrovsky01,astrovsky01,ethering,nsoranzo
2023-04-01	authorship	22	mtekman,nomadscientist,{"authorship"=>["nomadscientist", "mtekman"], "testing"=>["marisajl"]},contributor1,contributor2,metekman,pavanvidem,wee-snufkin,pinin4fjords,Marisa Loach,MarisaJL,beatrizserrano,gallardoalba,bebatut,erxleben,wm75,hrhotz,blankenberg,aostrovsky01,astrovsky01,ethering,nsoranzo
